record_key,source_database,year,title,authors,journal_or_venue,doi,record_type,screening_basis,is_relevant,evidence_class,empirical_method,outcome_group,database_method,corrected_by_audit,corrected_by_spot_check
SWRD:34152,SWRD,1994,"OF AGEISM, SUICIDE, AND LIMITING LIFE","SCHNEEWIND, EH",Journal of Gerontological Social Work,,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:25693,SWRD,1994,PSYCHOSOCIAL TREATMENT OF DEPRESSION IN WOMEN - 9 SINGLE-SUBJECT EVALUATIONS,"Jensen, C",Research on Social Work Practice,10.1177/104973159400400301,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:25600,SWRD,1994,"RISK-FACTORS FOR SUICIDE AMONG GAY, LESBIAN, AND BISEXUAL YOUTHS","PROCTOR, CD; GROZE, VK",Social Work,10.1093/sw/39.5.504,Article; Proceedings Paper,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:25629,SWRD,1994,SELFOBJECT FUNCTIONS OF THE FAMILY - IMPLICATIONS FOR FAMILY-THERAPY,"UNGAR, MT; LEVENE, JE",Clinical Social Work Journal,10.1007/bf02190360,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:80684,SWRD,1994,Suicide ideation among a stratified sample of rural and urban adolescents,Albers E.; Evans W.,Child & Adolescent Social Work Journal,10.1007/bf01876588,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:33956,SWRD,1994,THE ETHICS OF ASSISTED SUICIDE,"Callahan, J",Health & Social Work,10.1093/hsw/19.4.237,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:127696,SWRD,1995,AIDS and Homophobia/Heterosexism,"Appleby, George A",Sexual and Gender Diversity in Social Services,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:54273,SWRD,1995,AN OPPORTUNITY LOST - THE FAILURE OF THE MICHIGAN-COMMISSION-ON-DEATH-AND-DYING,"ELLIN, J",The Journal of Sociology & Social Welfare,,Article; Proceedings Paper,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:98910,SWRD,1995,Chapter 1: Aids and homophobia/heterosexism,Appleby G.; Khabir Williams,Journal of Gerontological Social Work,10.1300/j041v02n03_01,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:25539,SWRD,1995,"MURDER, SUICIDE AND VIOLENCE - IMPACTS ON THE SOCIAL-WORKER","SMITH, MS; NURSTEN, JP",Journal of Social Work Practice,10.1080/02650539508413985,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:77326,SWRD,1995,"Of Ageism, Suicide, and Limiting Life",Schneewind E.,Journal of Gerontological Social Work,10.1300/j083v23n01_08,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:53622,SWRD,1995,PREADOLESCENT SUICIDE - HOW TO ASK AND HOW TO RESPOND,"JACKSON, H; HESS, PM; VANDALEN, A",Families in Society,10.1177/104438949507600501,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:74158,SWRD,1995,Research note: An attempt to classify adolescent parasuicide attempters,Gilliland D.,British Journal of Social Work,,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:106321,SWRD,1995,"SCHIZOPHRENIA, SUICIDE AND SPIRITUALITY: HELPING FAMILIES COPE","Greenlee, Richard W",Journal of Technology in Human Services,,,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:33405,SWRD,1995,Storying the suicide of one's child,"MCQUAIDE, S",Clinical Social Work Journal,10.1007/bf02191630,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:128083,SWRD,1995,Stress Debriefings for School Professionals Involved in Traumatic Event Response,,School Social Work Journal,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:33483,SWRD,1995,SUICIDE RISK AMONG PEOPLE LIVING WITH AIDS,"MANCOSKE, RJ; WADSWORTH, CM; DUGAS, DS; HASNEY, JA",Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:25550,SWRD,1995,THE IMPACT OF PARENTAL SUICIDE ON CHILDREN AND STAFF IN RESIDENTIAL CARE - A CASE-STUDY IN THE FUNCTION OF CONTAINMENT,"Ward, A",Journal of Social Work Practice,10.1080/02650539508413986,Article; Proceedings Paper,title_and_abstract,True,Empirical,Qualitative,Qualitative,,False,False
SWRD:33419,SWRD,1995,"Unemployment, age, gender and regional suicide in England and Wales 1974-90: A harbinger of increased suicide for the 1990s?","PRITCHARD, C",British Journal of Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:127656,SWRD,1996,"A Clash of Knowledges: Toward an Analysis of the Social Organization of AIDS ""Suicide""",,Canadian Social Work Review,,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:32852,SWRD,1996,A specific therapeutic approach to suicide risk in borderline clients,"Callahan, J",Clinical Social Work Journal,10.1007/bf02190749,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:110544,SWRD,1996,"Adolescent Suicidal Ideation, Social Support and Effective Means of Help","Ho, Wui-shing; Ho, Wui-shing; Recollet, Debra; Turcotte, Daniel; Ho, Kit-wan; Cote-Meek, Sheila; Dumont, Serge; Ho, Kit-wan; Li, Man-chiu; Li, Man-chiu; Coholic, Diana; Provencher, Ysabel",Hong Kong Journal of Social Work,,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:106312,SWRD,1996,ASSISTED SUICIDE: A CONFLICT OF SOCIAL WORK VALUES,"Mitchell, Christopher; Mitchell, Christopher",Journal of Technology in Human Services,,,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:105933,SWRD,1996,"Counseling Satisfaction of Gay, Lesbian, and Bisexual College Students.","Sweet, Michael J.",Sexual and Gender Diversity in Social Services,10.1300/J041v04n03_02,,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:24658,SWRD,1996,Documentation of client dangerousness in a managed care environment,"Callahan, J",Health & Social Work,10.1093/hsw/21.3.202,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:126877,SWRD,1996,Ethical Implications of a Human Rights Culture for Social Work Practice,,Social Work-Maatskaplike Werk,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:33329,SWRD,1996,Euthanasia and physician assisted suicide; A social work update,"Smokowski, PR; WODARSKI, JS",Social Work in Health Care,10.1300/j010v23n01_04,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:124671,SWRD,1996,"History of sexual abuse and parental alcohol misuse: Risk, outcomes and protective factors in adolescents.","Chandy, Joseph M.; Blum, Robert W.",Child & Adolescent Social Work Journal,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:24841,SWRD,1996,HIV/AIDS and suicide: Be open,"Holtby, ME",Social Work,,Editorial Material,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:24847,SWRD,1996,HIV/AIDS and suicide: Further precautions,"MANCOSKE, RJ",Social Work,,Editorial Material,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:24724,SWRD,1996,Social support and suicide attempts,"Latha, KS; DSouza, P; Bhat, SM",Indian Journal of Social Work,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:32918,SWRD,1996,Social work with suicidal clients: Challenges of implementing practice guidelines and standards of care,"Callahan, J",Health & Social Work,10.1093/hsw/21.4.277,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:32952,SWRD,1996,"Suicide - The ultimate rejection? A psycho-social study - Pritchard,C","SMITH, M",Journal of Social Work Practice,,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:124695,SWRD,1996,"Suicide ideation, attempts and abuse among incarcerated gang and nongang delinquents.","Evans, William; Albers, Eric",Child & Adolescent Social Work Journal,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:33325,SWRD,1996,"Suicide risk among people living with AIDS (vol 40, pg 783, 1995)","Sikes, DS",Social Work,,"Correction, Addition",title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:124634,SWRD,1997,'Who would find you?' A question for working with suicidal children and adolescents.,"Holman, Warren Dana",Child & Adolescent Social Work Journal,,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:32570,SWRD,1997,A test of a model with reciprocal effects between religiosity and various forms of delinquency using 2-stage least squares regression,"Benda, BB; Corwyn, RF",Journal of Social Service Research,10.1300/j079v22n03_02,Review,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:96933,SWRD,1997,Abused women in New Mexican shelters: Factors that influence independence on discharge,Hilbert J.C.; Kolia R.; VanLeeuwen D.M.,Social Work,10.1177/088610999701200403,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:32400,SWRD,1997,"Assisted suicide, community, and the common good","Callahan, J",Health & Social Work,10.1093/hsw/22.4.243,Editorial Material,title_only,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:110524,SWRD,1997,Baseline Study Report on the Community Care Patterns and Networking Strategies of the Elderly in Hong Kong,"Kreitzer, Linda; Yeung, Agnes; Yeung, Agnes; Yeung, Agnes; Yeung, Agnes; Schwartz, Karen; Chow, Esther; Li, Ping-Wai; Barlow, Constance A",Hong Kong Journal of Social Work,,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:24197,SWRD,1997,"Global trends in suicide prevention: Towards the development of national strategies for suicide prevention - Ramsay,RF, Tanney,BL","PATEL, V",Indian Journal of Social Work,,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:98824,SWRD,1997,"Growing up with a “spoiled identity”: Lesbian, gay and bisexual youth at risk",Grossman A.,Journal of Gerontological Social Work,10.1300/j041v06n03_03,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:106632,SWRD,1997,"I Will Survive: Lesbian, Gay, and Bisexual Youths' Experience of High School.","Jordan, Karen M.; Vaughan, Jill S.; Woodworth, Katharine J.",Sexual and Gender Diversity in Social Services,,,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:110534,SWRD,1997,Teenage Drugs Subculture: Implications for Preventive Strategies in Social Work Practice,"Lai, Kwok-Hung; Lai, Kwok-Hung; Silver, Richard; Kuwee-Kumsa, Martha",Hong Kong Journal of Social Work,,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:103657,SWRD,1997,The Ultimate Termination: A Dialogue,Gagnon; Katia,Reflections: Narratives of Professional Helping,,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:31965,SWRD,1998,A consumer study of young people's views on their educational social worker: Engagement as a measure of an effective relationship,"PRITCHARD, C; Cotton, A; Bowen, D; WILLIAMS, R",British Journal of Social Work,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:79531,SWRD,1998,A Postmodern Perspective on Black Suicides in the United States,Washington R.O.; McCarley L.,Journal of Human Behavior in the Social Environment,10.1080/10911359.1998.10530794,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:32123,SWRD,1998,Adolescent deviant behavior: Multiple contingency table analyses of overlap between behaviors,"Benda, BB; Corwyn, RF",Journal of Social Service Research,10.1300/j079v24n01_02,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:23827,SWRD,1998,Assisted suicide,"Miller, PJ",Social Work,10.1093/sw/43.4.384,Letter,title_only,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:23983,SWRD,1998,Euthanasia and assisted suicide: A survey of registered social workers in British Columbia,"Ogden, RD; Young, MG",British Journal of Social Work,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:32249,SWRD,1998,Evaluating an intervention for the elderly at increased risk of suicide,"Morrow-Howell, N; Becker-Kemppainen, S; Judy, L",Research on Social Work Practice,10.1177/104973159800800104,Article; Proceedings Paper,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:98780,SWRD,1998,"I will survive: Lesbian, gay, and bisexual youths’ experience of high school",Jordan K.; Dora Tam; Vaughan J.; Tangela C. Sawyerr; Woodworth K.; Emma Miller,Journal of Gerontological Social Work,10.1300/j041v07n04_02,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:23913,SWRD,1998,It's like death - but not permanent,"Deacon, J",Journal of Social Work Practice,10.1080/02650539808415134,Article; Proceedings Paper,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,Qualitative,False,False
SWRD:126201,SWRD,1998,"Long-term evaluation of group counselling of women with a history of child sexual abuse: focus on depression, self-esteem, suicidal behaviors and social support.","Bagley, C.",Social Work with Groups,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:103605,SWRD,1998,Not the Time: A Personal Reflection on Counseling Families on End-of-Life Decisions,Jordan Marie; Raffety,Reflections: Narratives of Professional Helping,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:124575,SWRD,1998,Pregnant and postpartum adolescents' perceptions of the consequences of child abuse.,"Geva, Judith",Child & Adolescent Social Work Journal,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:98793,SWRD,1998,Prevalence of suicide attempts and suicidal ideation among lesbian and gay youth,Saulnier C.,Journal of Gerontological Social Work,10.1300/j041v08n03_05,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:32242,SWRD,1998,Social work assessment at end of life: Practice guidelines for suicide and the terminally ill,"Miller, PJ; Hedlund, SC; Murphy, KA",Social Work in Health Care,10.1300/j010v26n04_02,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:23865,SWRD,1998,The effects of suicide on the private practitioner: A professional and personal perspective,"FOX, R; COOPER, M",Clinical Social Work Journal,10.1023/a:1022866917611,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:23659,SWRD,1998,The therapeutic potential for growth during the termination process,"Anthony, S; Pagano, G",Clinical Social Work Journal,10.1023/a:1022872011238,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:85233,SWRD,1998,"Youth unemployment, economic deprivation and suicide",Hagquist C.,International Journal of Social Welfare,10.1111/j.1468-2397.1998.tb00253.x,journal-article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:23068,SWRD,1999,Desire to die in terminally ill people:: A framework for assessment and intervention,"Van Loon, RA",Health & Social Work,10.1093/hsw/24.4.260,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:31817,SWRD,1999,"Disease, pain and suicidal behavior.","Meister, ND",Journal of Psychosocial Oncology,10.1300/j077v17n01_06,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:31714,SWRD,1999,Euthanasia and assisted suicide: Issues for social work practice,"Csikai, EL",Journal of Gerontological Social Work,10.1300/j083v31n03_04,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:31715,SWRD,1999,Hospital social workers' attitudes toward euthanasia and assisted suicide,"Csikai, EL",Social Work in Health Care,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:81741,SWRD,1999,"Long-term evaluation of group counselling for women with a history of child sexual abuse: Focus on depression, self-esteem, suicidal behaviors and social support",Bagley C.,Social Work with Groups,10.1300/j009v21n03_06,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:122667,SWRD,1999,On the Receiving End of Social Work Services.,"Cohen, Marcia B.",Reflections: Narratives of Professional Helping,,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:79502,SWRD,1999,Risk factors for suicidal behavior among alcoholics: Factors associated with a history of ideation vs. a history of parasuicide,Smyth N.J.,Journal of Human Behavior in the Social Environment,10.1300/j137v02n03_05,Journal Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:31716,SWRD,1999,The role of values and experience in determining social workers' attitudes toward euthanasia and assisted suicide,"Csikai, EL",Social Work in Health Care,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:23125,SWRD,1999,World mental health - Problems and perspective,"SEIPEL, MMO",International Social Work,10.1177/002087289904200403,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:98690,SWRD,2000,Gay Youth: More visible but fewer problems?,Alexander C.,Journal of Gerontological Social Work,10.1300/j041v11n04_07,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:77774,SWRD,2000,Hospital social workers’ attitudes toward euthanasia and assisted suicide,Csikai E.,Social Work in Health Care,10.1300/j010v30n01_04,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:23000,SWRD,2000,Life after death with dignity: The Oregon experience,"Miller, PJ",Social Work,10.1093/sw/45.3.263,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:22936,SWRD,2000,Night falls fast: Understanding suicide.,"Heller, NR",Clinical Social Work Journal,10.1023/a:1005190629668,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:22867,SWRD,2000,Suicide and mental health problems among Swedish youth in the wake of the 1990s recession,"Hagquist, C; Silburn, SR; Zubrick, SR; Lindberg, G; Weitoft, GR",International Journal of Social Welfare,10.1111/1468-2397.00130,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:77777,SWRD,2000,The role of values and experience in determining social workers’ attitudes toward euthanasia and assisted suicide,Ecsikai E.,Social Work in Health Care,10.1300/j010v30n01_05,Journal Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:100900,SWRD,2000,"Three communities' knowledge, attitudes and behaviour regarding suicide",Engelbrecht; McPhail; MC; Beverly; Van Vuuren,Social Work-Maatskaplike Werk,10.15270/36-1-1552,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:81712,SWRD,2000,Time-limited cognitive-behavioral group interventions with suicidal adolescents,Rittner B.; Smyth N.J.,Social Work with Groups,10.1300/j009v22n02_05,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:31461,SWRD,2000,Understanding suicide attempts by adolescent Hispanic females,"ZAYAS, LH; Kaplan, C; Turner, S; Romano, K; Gonzalez-Ramos, G",Social Work,10.1093/sw/45.1.53,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:30977,SWRD,2001,Analyzing end-of-life care legislation: A social work perspective,"Roff, S",Social Work in Health Care,10.1300/j010v33n01_05,Article; Proceedings Paper,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:31010,SWRD,2001,Bullying as a social malady in contemporary Japan,"Treml, JN",International Social Work,10.1177/002087280104400109,Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:124364,SWRD,2001,Coerced sexual experiences among adolescent substance abusers: A potential pathway to increased vulnerability to HIV exposure.,"Tubman, Jonathan G.; Calderon, Diana M.",Child & Adolescent Social Work Journal,,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:22489,SWRD,2001,Ethical issues in the social worker's role in physician-assisted suicide,"Manetta, AA; Wells, JG",Health & Social Work,10.1093/hsw/26.3.160,Article,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,Quantitative,False,False
SWRD:22554,SWRD,2001,Mortality after care among young adult foster children in Sweden,"Vinnerljung, B; Ribe, M",International Journal of Social Welfare,10.1111/1468-2397.00169,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:30902,SWRD,2001,Night falls fast: Understanding suicide.,"Howard, MO; Vaughn, MG",Journal of Social Service Research,,Book Review,title_only,True,Non-empirical,Not applicable,Non-empirical,,False,False
SWRD:30927,SWRD,2001,Prevention principles for practitioners: A solution or an illusion?,"LURIE, A; Monahan, K",Social Work in Health Care,10.1300/j010v33n01_06,Article; Proceedings Paper,title_and_abstract,False,Not applicable,Not applicable,Irrelevant,,False,False
SWRD:124371,SWRD,2001,Risk for preadolescent suicidal behavior: An ecological model.,,Child & Adolescent Social Work Journal,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:100866,SWRD,2001,Selfmoordneigings en selfdestruktiewe gedrag tydens adolessensie: 'n gestaltterapeutiese riglyn,Swanepoel; Kamerman; Joubert; Sheila B.; JMC,Social Work-Maatskaplike Werk,10.15270/37-3-1507,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:127015,SWRD,2001,Suicide and Self-Destructive Behavior in Adolescence: A Gestalt Therapeutic Guideline,,Social Work-Maatskaplike Werk,,Article,title_and_abstract,True,Empirical,Quantitative,Quantitative,Quantitative,False,False
SWRD:77182,SWRD,2001,Suicide and the Elderly: Issues for Clinical Practice,Roff S.,Journal of Gerontological Social Work,10.1300/j083v35n02_03,Journal Article,title_and_abstract,True,Non-empirical,Not applicable,Non-empirical,,False,False
