record_id,field,current,proposed,tier,basis,evidence,title
119583,doi,oai:scholarworks.wmich.edu:jssw-3457,10.15453/0191-5096.3457,A,oai_conversion,crossref=10.15453/0191-5096.3457 sim=1.0 year=match journal=match/name,"Review of <em>People at Work: Life, Power, and Social Inclusion in the New Economy.</em> Marjorie L. DeVault, Editor. Re"
120215,doi,oai:scholarworks.wmich.edu:jssw-4360,10.15453/0191-5096.4360,A,oai_conversion,crossref=10.15453/0191-5096.4360 sim=1.0 year=match journal=match/name,"Review of <em>Social Work and Social Justice: Concepts, Challenges, and Strategies</em> by Michael Reisch and Charles D."
118352,doi,oai:scholarworks.wmich.edu:jssw-2114,10.15453/0191-5096.2114,A,oai_conversion,crossref=10.15453/0191-5096.2114 sim=1.0 year=match journal=match/name,Effectively Teaching African American Social Welfare Historical Developments
118506,doi,oai:scholarworks.wmich.edu:jssw-2278,10.15453/0191-5096.2278,A,oai_conversion,crossref=10.15453/0191-5096.2278 sim=1.0 year=match journal=match/name,"<em>Paths to Homelessness: Extreme Poverty and the Urban Housing Crisis.</em> Doug A. Timmer, D. Stanley Eitzen and Kath"
119269,doi,oai:scholarworks.wmich.edu:jssw-3106,10.15453/0191-5096.3106,A,oai_conversion,crossref=10.15453/0191-5096.3106 sim=1.0 year=match journal=match/name,<em>Social Theory: The Multicultural and Classical Readings.</em> Charles Lemert.
119154,doi,oai:scholarworks.wmich.edu:jssw-2981,10.15453/0191-5096.2981,A,oai_conversion,crossref=10.15453/0191-5096.2981 sim=1.0 year=match journal=match/name,Work-based Welfare as a Ritual: Understanding Marginalization in Post-Independence Lithuania
118341,doi,oai:scholarworks.wmich.edu:jssw-2100,10.15453/0191-5096.2100,A,oai_conversion,crossref=10.15453/0191-5096.2100 sim=1.0 year=match journal=match/name,Resources for Friendship Intervention
119800,doi,oai:scholarworks.wmich.edu:jssw-3707,10.15453/0191-5096.3707,A,oai_conversion,crossref=10.15453/0191-5096.3707 sim=1.0 year=match journal=match/name,Review of <em>Racial Beachhead: Diversity and Democracy in a Military Town.</em> Carol Lynn McKibben. Reviewed by Laura 
118395,doi,oai:scholarworks.wmich.edu:jssw-2160,10.15453/0191-5096.2160,A,oai_conversion,crossref=10.15453/0191-5096.2160 sim=1.0 year=match journal=match/name,The Elusive Boundaries of Social Work
120185,doi,oai:scholarworks.wmich.edu:jssw-4286,10.15453/0191-5096.4286,A,oai_conversion,crossref=10.15453/0191-5096.4286 sim=1.0 year=match journal=match/name,Review of <em>The Group: Seven Widowed Fathers Reimagine Life.</em> Donald L. Rosentein and Justin M. Yopp
119686,doi,oai:scholarworks.wmich.edu:jssw-3574,10.15453/0191-5096.3574,A,oai_conversion,crossref=10.15453/0191-5096.3574 sim=1.0 year=match journal=match/name,"Review of <em>The People Shall Rule: ACORN, Community Organizing, and the Struggle for Economic Justice.</em> Robert Fis"
119077,doi,oai:scholarworks.wmich.edu:jssw-2896,10.15453/0191-5096.2896,A,oai_conversion,crossref=10.15453/0191-5096.2896 sim=1.0 year=match journal=match/name,Linking Welfare Clients to Jobs: Discretionary Use of Worker Social Capital
119342,doi,oai:scholarworks.wmich.edu:jssw-3182,10.15453/0191-5096.3182,A,oai_conversion,crossref=10.15453/0191-5096.3182 sim=1.0 year=match journal=match/name,Altruism or Self-interest? Social Spending and the Life Course
118216,doi,oai:scholarworks.wmich.edu:jssw-1964,10.15453/0191-5096.1964,A,oai_conversion,crossref=10.15453/0191-5096.1964 sim=1.0 year=match journal=match/name,"Response by Ralph Segalman to Isidore Walliman's review of The Swiss Way of Welfare which appeared in Volume XV, Number "
118387,doi,oai:scholarworks.wmich.edu:jssw-2151,10.15453/0191-5096.2151,A,oai_conversion,crossref=10.15453/0191-5096.2151 sim=1.0 year=match journal=match/name,<em>International and Transracial Adoptions.</em> Christopher Bagley with Loretta Young and Anne Scully.
119959,doi,oai:scholarworks.wmich.edu:jssw-3922,10.15453/0191-5096.3922,A,oai_conversion,crossref=10.15453/0191-5096.3922 sim=1.0 year=match journal=match/name,Relationship-Based Justice for Gender Responsive Specialty Courts
119922,doi,oai:scholarworks.wmich.edu:jssw-3880,10.15453/0191-5096.3880,A,oai_conversion,crossref=10.15453/0191-5096.3880 sim=1.0 year=match journal=match/name,How the Immigration and Deportation Systems Work: A Social Workers Guide
118798,doi,oai:scholarworks.wmich.edu:jssw-2595,10.15453/0191-5096.2595,A,oai_conversion,crossref=10.15453/0191-5096.2595 sim=1.0 year=match journal=match/name,"Review of <em>Paradigms of Clinical Social Work, Volume 2.</em> Rachel Dorfman (ED). Reviewed by Cynthia Franklin, Unive"
118414,doi,oai:scholarworks.wmich.edu:jssw-2179,10.15453/0191-5096.2179,A,oai_conversion,crossref=10.15453/0191-5096.2179 sim=1.0 year=match journal=match/name,<em>The Greatest of Evils: Urban Poverty and the American Underclass.</em> Joel A. Devine and James D. Wright.
120202,doi,oai:scholarworks.wmich.edu:jssw-4336,10.15453/0191-5096.4336,A,oai_conversion,crossref=10.15453/0191-5096.4336 sim=1.0 year=match journal=match/name,Psychometric Properties of the Job Burnout Scale among Social Service Workers: A Pilot Study
119888,doi,oai:scholarworks.wmich.edu:jssw-3819,10.15453/0191-5096.3819,A,oai_conversion,crossref=10.15453/0191-5096.3819 sim=1.0 year=match journal=match/name,Social Work in the Black Community: A Collective Response to Contemporary Unrest
119621,doi,oai:scholarworks.wmich.edu:jssw-3497,10.15453/0191-5096.3497,A,oai_conversion,crossref=10.15453/0191-5096.3497 sim=1.0 year=match journal=match/name,The Changing Nature of Accountability in Administrative Practice
119763,doi,oai:scholarworks.wmich.edu:jssw-3668,10.15453/0191-5096.3668,A,oai_conversion,crossref=10.15453/0191-5096.3668 sim=1.0 year=match journal=match/name,"Predictors of Time Volunteering, Religious Giving, and Secular Giving: Implications for Nonprofit Organizations"
119533,doi,oai:scholarworks.wmich.edu:jssw-3399,10.15453/0191-5096.3399,A,oai_conversion,crossref=10.15453/0191-5096.3399 sim=1.0 year=match journal=match/name,<em>Racial Diversity and Social Capital: Equality and Community in America.</em> Rodney E. Hero.
119286,doi,oai:scholarworks.wmich.edu:jssw-3124,10.15453/0191-5096.3124,A,oai_conversion,crossref=10.15453/0191-5096.3124 sim=1.0 year=match journal=match/name,"Review of <em>Insecurity and Welfare Regimes in Asia, Africa and Latin America.</em> Ian Gough and Geof Wood with Armand"
119783,doi,oai:scholarworks.wmich.edu:jssw-3686,10.15453/0191-5096.3686,A,oai_conversion,crossref=10.15453/0191-5096.3686 sim=1.0 year=match journal=match/name,Capacity Building Legacies: Boards of the Richmond Male Orphan Asylum for Destitute Boys & the Protestant Episcopal Chur
119445,doi,oai:scholarworks.wmich.edu:jssw-3298,10.15453/0191-5096.3298,A,oai_conversion,crossref=10.15453/0191-5096.3298 sim=1.0 year=match journal=match/name,Social Functioning: A Sociological Common Base for Social Work Practice
118318,doi,oai:scholarworks.wmich.edu:jssw-2073,10.15453/0191-5096.2073,A,oai_conversion,crossref=10.15453/0191-5096.2073 sim=1.0 year=match journal=match/name,Purchase of Service Contracting In the 1990s: Have Expectations Been Met?
120370,doi,oai:scholarworks.wmich.edu:jssw-4706,10.15453/0191-5096.4706,A,oai_conversion,crossref=10.15453/0191-5096.4706 sim=1.0 year=match journal=match/name,Historical Trauma and the Disability Community
119677,doi,oai:scholarworks.wmich.edu:jssw-3564,10.15453/0191-5096.3564,A,oai_conversion,crossref=10.15453/0191-5096.3564 sim=1.0 year=match journal=match/name,"Representations of Homelessness in Four Canadian Newspapers: Regulation, Control, and Social Order"
119021,doi,oai:scholarworks.wmich.edu:jssw-2830,10.15453/0191-5096.2830,A,oai_conversion,crossref=10.15453/0191-5096.2830 sim=1.0 year=match journal=match/name,Designing Policies that Address the Relationship Between Woman Abuse and Economic Resources
119148,doi,oai:scholarworks.wmich.edu:jssw-2972,10.15453/0191-5096.2972,A,oai_conversion,crossref=10.15453/0191-5096.2972 sim=1.0 year=match journal=match/name,"Review of <em>Engendering International Health: The Challenge of Equity.</em> Gita Sen, Asha George and Piroska Osltin ("
119799,doi,oai:scholarworks.wmich.edu:jssw-3708,10.15453/0191-5096.3708,A,oai_conversion,crossref=10.15453/0191-5096.3708 sim=1.0 year=match journal=match/name,Review of <em>Great American City: Chicago and the Enduring Neighborhood Effect.</em> Robert Sampson. Reviewed by Gwendo
119089,doi,oai:scholarworks.wmich.edu:jssw-2912,10.15453/0191-5096.2912,A,oai_conversion,crossref=10.15453/0191-5096.2912 sim=1.0 year=match journal=match/name,<em>The New World of Welfare.</em> Rebecca Blank and Ron Haskins (Eds.).
119586,doi,oai:scholarworks.wmich.edu:jssw-3459,10.15453/0191-5096.3459,A,oai_conversion,crossref=10.15453/0191-5096.3459 sim=1.0 year=match journal=match/name,Review of <em>The Revival of Labor Liberalism.</em> Andrew Battista. Reviewed by Larry Nackerud.
118196,doi,oai:scholarworks.wmich.edu:jssw-1939,10.15453/0191-5096.1939,A,oai_conversion,crossref=10.15453/0191-5096.1939 sim=1.0 year=match journal=match/name,Empowerment through Advocacy and Consciousness-Raising: Implications of a Structural Approach to Social Work
119937,doi,oai:scholarworks.wmich.edu:jssw-3897,10.15453/0191-5096.3897,A,oai_conversion,crossref=10.15453/0191-5096.3897 sim=1.0 year=match journal=match/name,Review of <em>Creating Positive Systems of Child and Family Welfare: Congruence with the Everyday Lives of Children and 
120240,doi,oai:scholarworks.wmich.edu:jssw-4414,10.15453/0191-5096.4414,A,oai_conversion,crossref=10.15453/0191-5096.4414 sim=1.0 year=match journal=match/name,Review of <em>Shaping a Science of Social Work: Professional Knowledge and Identity</em> by John Brekke and Jeane Anasta
118339,doi,oai:scholarworks.wmich.edu:jssw-2098,10.15453/0191-5096.2098,A,oai_conversion,crossref=10.15453/0191-5096.2098 sim=1.0 year=match journal=match/name,Neighborhood-Based Initiative to Address Poverty: Lessons From Experience
118428,doi,oai:scholarworks.wmich.edu:jssw-2194,10.15453/0191-5096.2194,A,oai_conversion,crossref=10.15453/0191-5096.2194 sim=1.0 year=match journal=match/name,Defining Success: The Politics of Evaluation in Alcohol and Drug Abuse Treatment Programs
119668,doi,oai:scholarworks.wmich.edu:jssw-3555,10.15453/0191-5096.3555,A,oai_conversion,crossref=10.15453/0191-5096.3555 sim=1.0 year=match journal=match/name,"Review of <em>Longing and Belonging: Parents, Children, and Consumer Culture.</em> Allison J. Pugh. Reviewed by Cheryl N"
119810,doi,oai:scholarworks.wmich.edu:jssw-3717,10.15453/0191-5096.3717,A,oai_conversion,crossref=10.15453/0191-5096.3717 sim=1.0 year=match journal=match/name,Health Inequalities and the Welfare State in European Families
118925,doi,oai:scholarworks.wmich.edu:jssw-2725,10.15453/0191-5096.2725,A,oai_conversion,crossref=10.15453/0191-5096.2725 sim=1.0 year=match journal=match/name,Welfare Reform Sanctions and Financial Strain in a Food-Pantry Sample
119718,doi,oai:scholarworks.wmich.edu:jssw-3614,10.15453/0191-5096.3614,A,oai_conversion,crossref=10.15453/0191-5096.3614 sim=1.0 year=match journal=match/name,The Role of the Neighborhood in Making Welfare Reform Possible
118308,doi,oai:scholarworks.wmich.edu:jssw-2064,10.15453/0191-5096.2064,A,oai_conversion,crossref=10.15453/0191-5096.2064 sim=1.0 year=match journal=match/name,The Welfare Reservation: A Worst Case Scenario For A Federal Role In Homeless Assistance
120216,doi,oai:scholarworks.wmich.edu:jssw-4361,10.15453/0191-5096.4361,A,oai_conversion,crossref=10.15453/0191-5096.4361 sim=1.0 year=match journal=match/name,Review of <em>Social Work Practice and Social Welfare Policy in the United States: A History</em> by Philip R. Popple
119825,doi,oai:scholarworks.wmich.edu:jssw-3735,10.15453/0191-5096.3735,A,oai_conversion,crossref=10.15453/0191-5096.3735 sim=1.0 year=match journal=match/name,"Black Women in the ""Black Metropolis"" of the Early Twentieth Century: The Case of Professional Occupations"
118895,doi,oai:scholarworks.wmich.edu:jssw-2697,10.15453/0191-5096.2697,A,oai_conversion,crossref=10.15453/0191-5096.2697 sim=1.0 year=match journal=match/name,<em>Policing Urban Poverty.</em> Chris Crowther.
119143,doi,oai:scholarworks.wmich.edu:jssw-2970,10.15453/0191-5096.2970,A,oai_conversion,crossref=10.15453/0191-5096.2970 sim=1.0 year=match journal=match/name,"Review of <em>Meds, Money, and Manners: The Case Management of Severe Mental Illness.</em> Jerry Floersch Reviewed by Ra"
119141,doi,oai:scholarworks.wmich.edu:jssw-2969,10.15453/0191-5096.2969,A,oai_conversion,crossref=10.15453/0191-5096.2969 sim=1.0 year=match journal=match/name,Review of <em>Growth and Convergence in Metropolitan America.</em> Janet Rothenberg Pack. Reviewed by Joseph A. Deering.
120335,doi,oai:scholarworks.wmich.edu:jssw-4670,10.15453/0191-5096.4670,A,oai_conversion,crossref=10.15453/0191-5096.4670 sim=1.0 year=match journal=match/name,Racial Microaggressions and Asian Americans' Well-Being: A Scoping Review and Exploratory Meta-Analysis
120168,doi,oai:scholarworks.wmich.edu:jssw-4252,10.15453/0191-5096.4252,A,oai_conversion,crossref=10.15453/0191-5096.4252 sim=1.0 year=match journal=match/name,Review of <em>The War on Kids: How American Juvenile Justice Lost Its Way.</em> by Cara H. Drinan
119796,doi,oai:scholarworks.wmich.edu:jssw-3703,10.15453/0191-5096.3703,A,oai_conversion,crossref=10.15453/0191-5096.3703 sim=1.0 year=match journal=match/name,Perceived Neighborhood Safety and Psychological Distress: Exploring Protective Factors
118961,doi,oai:scholarworks.wmich.edu:jssw-2769,10.15453/0191-5096.2769,A,oai_conversion,crossref=10.15453/0191-5096.2769 sim=1.0 year=match journal=match/name,Adolescence and Old Age in Twelve Communities
119229,doi,oai:scholarworks.wmich.edu:jssw-3065,10.15453/0191-5096.3065,A,oai_conversion,crossref=10.15453/0191-5096.3065 sim=1.0 year=match journal=match/name,<em>Globalization: Culture and Education in the New Millenium.</em> Marcelo M. Suarez-Orozco and Desiree Baolian Qin-Hil
120000,doi,oai:scholarworks.wmich.edu:jssw-3966,10.15453/0191-5096.3966,A,oai_conversion,crossref=10.15453/0191-5096.3966 sim=1.0 year=match journal=match/name,"Latino Migration to Protestantism: A Historical, Socio-cultural, Ecclesiastical Analysis"
119393,doi,oai:scholarworks.wmich.edu:jssw-3242,10.15453/0191-5096.3242,A,oai_conversion,crossref=10.15453/0191-5096.3242 sim=1.0 year=match journal=match/name,<em>The Immigrant Threat.</em> Leo Lucassen.
119420,doi,oai:scholarworks.wmich.edu:jssw-3274,10.15453/0191-5096.3274,A,oai_conversion,crossref=10.15453/0191-5096.3274 sim=1.0 year=match journal=match/name,Incarceration and Unwed Fathers in Fragile Families
119564,doi,oai:scholarworks.wmich.edu:jssw-3436,10.15453/0191-5096.3436,A,oai_conversion,crossref=10.15453/0191-5096.3436 sim=1.0 year=match journal=match/name,Review of <em>Youth-Led Community Organizing: Theory and Action.</em> Melvin Delgado and Lee Staples. Reviewed by Wilma 
118572,doi,oai:scholarworks.wmich.edu:jssw-2346,10.15453/0191-5096.2346,A,oai_conversion,crossref=10.15453/0191-5096.2346 sim=1.0 year=match journal=match/name,<em>A Second Chicago School: The Development of a Postwar American Sociology.</em> Gary Alan Fine (Ed.).
118859,doi,oai:scholarworks.wmich.edu:jssw-2657,10.15453/0191-5096.2657,A,oai_conversion,crossref=10.15453/0191-5096.2657 sim=1.0 year=match journal=match/name,"<em>The Generational Equity Debate.</em> John B. Williamson, Diane M. Watts-Roy and Eric R. Kingson (Eds.)."
118315,doi,oai:scholarworks.wmich.edu:jssw-2072,10.15453/0191-5096.2072,A,oai_conversion,crossref=10.15453/0191-5096.2072 sim=1.0 year=match journal=match/name,Child Care Needs of Welfare Recipients In Maryland's Welfare Reform Program
120068,doi,oai:scholarworks.wmich.edu:jssw-4057,10.15453/0191-5096.4057,A,oai_conversion,crossref=10.15453/0191-5096.4057 sim=1.0 year=match journal=match/name,Review of <em>Evicted: Poverty and Profit in the American City</em>. Mathew Desmond. Reviewed by Yeqing Yuan.
120113,doi,oai:scholarworks.wmich.edu:jssw-4141,10.15453/0191-5096.4141,A,oai_conversion,crossref=10.15453/0191-5096.4141 sim=1.0 year=match journal=match/name,Crime and Mental Health Problems in Norway - a Zero-Sum Game?
118248,doi,oai:scholarworks.wmich.edu:jssw-1997,10.15453/0191-5096.1997,A,oai_conversion,crossref=10.15453/0191-5096.1997 sim=1.0 year=match journal=match/name,Introduction: Social Work and Philosophy
119695,doi,oai:scholarworks.wmich.edu:jssw-3588,10.15453/0191-5096.3588,A,oai_conversion,crossref=10.15453/0191-5096.3588 sim=1.0 year=match journal=match/name,Inabel Burns Lindsay: Social Work Pioneer Contributor to Practice and Education through a Socio-cultural Perspective
118346,doi,oai:scholarworks.wmich.edu:jssw-2106,10.15453/0191-5096.2106,A,oai_conversion,crossref=10.15453/0191-5096.2106 sim=1.0 year=match journal=match/name,"William Still, A Pioneer African American Social Worker"
119452,doi,oai:scholarworks.wmich.edu:jssw-3306,10.15453/0191-5096.3306,A,oai_conversion,crossref=10.15453/0191-5096.3306 sim=1.0 year=match journal=match/name,<em>Humanitarian Aid Work: A Critical Approach.</em> Carlos Martin Beristain.
120032,doi,oai:scholarworks.wmich.edu:jssw-3999,10.15453/0191-5096.3999,A,oai_conversion,crossref=10.15453/0191-5096.3999 sim=1.0 year=match journal=match/name,The Cost of Free Assistance: Why Low-Income Individuals Do Not Access Food Pantries
118361,doi,oai:scholarworks.wmich.edu:jssw-2124,10.15453/0191-5096.2124,A,oai_conversion,crossref=10.15453/0191-5096.2124 sim=1.0 year=match journal=match/name,"<em>Social Work Macro Practice.</em> F. Ellen Netting, Peter M. Kettner and Steven L. McMurtry."
118952,doi,oai:scholarworks.wmich.edu:jssw-2759,10.15453/0191-5096.2759,A,oai_conversion,crossref=10.15453/0191-5096.2759 sim=1.0 year=match journal=match/name,<em>Lost Fathers: The Politics of Fatherlessness in America.</em> Cynthia R. Daniels (Ed.)
120144,doi,oai:scholarworks.wmich.edu:jssw-4218,10.15453/0191-5096.4218,A,oai_conversion,crossref=10.15453/0191-5096.4218 sim=1.0 year=match journal=match/name,Women’s Experiences with Microfinance in Urban Bangladesh: Results from a Qualitative Study
118983,doi,oai:scholarworks.wmich.edu:jssw-2794,10.15453/0191-5096.2794,A,oai_conversion,crossref=10.15453/0191-5096.2794 sim=1.0 year=match journal=match/name,"Review of <em>Social Work Practice with Immigrants and Refugees.</em> Pallassana, R. Balgopal (Ed.). Review by Frederick"
119643,doi,oai:scholarworks.wmich.edu:jssw-3523,10.15453/0191-5096.3523,A,oai_conversion,crossref=10.15453/0191-5096.3523 sim=1.0 year=match journal=match/name,"Review of <em>Our Bodies, Our Crimes: The Policing of Women's Reproduction in America.</em> Jeanne Flavin. Reviewed by D"
118417,doi,oai:scholarworks.wmich.edu:jssw-2183,10.15453/0191-5096.2183,A,oai_conversion,crossref=10.15453/0191-5096.2183 sim=1.0 year=match journal=match/name,<em>Contemporary Political Idealogies.</em> Roger Eatwell and Anthony Wright.
119925,doi,oai:scholarworks.wmich.edu:jssw-3883,10.15453/0191-5096.3883,A,oai_conversion,crossref=10.15453/0191-5096.3883 sim=1.0 year=match journal=match/name,“Children Can’t Learn on an Empty Stomach”: The Black Panther Party’s Free Breakfast Program
120105,doi,oai:scholarworks.wmich.edu:jssw-4133,10.15453/0191-5096.4133,A,oai_conversion,crossref=10.15453/0191-5096.4133 sim=1.0 year=match journal=match/name,Measurement of Childhood Poverty in the United States and Its Enduring Influences
119661,doi,oai:scholarworks.wmich.edu:jssw-3548,10.15453/0191-5096.3548,A,oai_conversion,crossref=10.15453/0191-5096.3548 sim=1.0 year=match journal=match/name,Review of <em>More than Just Race: Being Black and Poor in the Inner City.</em> William Julius Wilson. Reviewed by Margu
118187,doi,oai:scholarworks.wmich.edu:jssw-1930,10.15453/0191-5096.1930,A,oai_conversion,crossref=10.15453/0191-5096.1930 sim=1.0 year=match journal=match/name,Health Implications of Homelessness: Reports from Three Countries
118927,doi,oai:scholarworks.wmich.edu:jssw-2732,10.15453/0191-5096.2732,A,oai_conversion,crossref=10.15453/0191-5096.2732 sim=1.0 year=match journal=match/name,"Review of <em>Challenges of Urban Education: Sociological Perspectives for the Next Century.</em> Karen A. McClafferty, "
118358,doi,oai:scholarworks.wmich.edu:jssw-2120,10.15453/0191-5096.2120,A,oai_conversion,crossref=10.15453/0191-5096.2120 sim=1.0 year=match journal=match/name,Review of <em>Protecting Soldiers and Mothers: The Political Origins of Social Policy in the United States.</em> Theda S
118622,doi,oai:scholarworks.wmich.edu:jssw-2402,10.15453/0191-5096.2402,A,oai_conversion,crossref=10.15453/0191-5096.2402 sim=1.0 year=match journal=match/name,"Review of <em>Individual and Social Responsibility: Child Care, Education, Medical Care and Long Term Care in America.</"
118503,doi,oai:scholarworks.wmich.edu:jssw-2274,10.15453/0191-5096.2274,A,oai_conversion,crossref=10.15453/0191-5096.2274 sim=1.0 year=match journal=match/name,<em>Families in Troubled Times: Adapting to Change in Rural America.</em> Rand D. Conger and Glen H. Elder.
119696,doi,oai:scholarworks.wmich.edu:jssw-3589,10.15453/0191-5096.3589,A,oai_conversion,crossref=10.15453/0191-5096.3589 sim=1.0 year=match journal=match/name,Surviving the Early Years of the Personal Responsibility and Work Opportunity Reconciliation Act
118629,doi,oai:scholarworks.wmich.edu:jssw-2405,10.15453/0191-5096.2405,A,oai_conversion,crossref=10.15453/0191-5096.2405 sim=1.0 year=match journal=match/name,Review of <em>Faces of Poverty: Portraits of Women and Children on Welfare.</em> Jill Duerr Berrick. Reviewed by Tracey 
118586,doi,oai:scholarworks.wmich.edu:jssw-2362,10.15453/0191-5096.2362,A,oai_conversion,crossref=10.15453/0191-5096.2362 sim=1.0 year=match journal=match/name,Review of <em>Young Men in the Street: Help Seeking Behaviour of Young Male Prostitutes.</em> Cudore L. Snell. Reviewed 
120297,doi,oai:scholarworks.wmich.edu:jssw-4559,10.15453/0191-5096.4559,A,oai_conversion,crossref=10.15453/0191-5096.4559 sim=1.0 year=match journal=match/name,Social Work and Participation in the Digital Environment
120234,doi,oai:scholarworks.wmich.edu:jssw-4387,10.15453/0191-5096.4387,A,oai_conversion,crossref=10.15453/0191-5096.4387 sim=1.0 year=match journal=match/name,Journal of Sociology and Social Welfare Vol. 47 No. 1
119132,doi,oai:scholarworks.wmich.edu:jssw-2959,10.15453/0191-5096.2959,A,oai_conversion,crossref=10.15453/0191-5096.2959 sim=1.0 year=match journal=match/name,Working Together to Stop Domestic Violence: State-Community Partnerships and the Changing Meaning of Public and Private
118370,doi,oai:scholarworks.wmich.edu:jssw-2131,10.15453/0191-5096.2131,A,oai_conversion,crossref=10.15453/0191-5096.2131 sim=1.0 year=match journal=match/name,Changes in Labor Force Activities and Income of the Elderly Before and After Retirement: A Longitudinal Analysis
119562,doi,oai:scholarworks.wmich.edu:jssw-3434,10.15453/0191-5096.3434,A,oai_conversion,crossref=10.15453/0191-5096.3434 sim=1.0 year=match journal=match/name,Expectations of the Consequences of New International Adoption Policy in the U.S.
120046,doi,oai:scholarworks.wmich.edu:jssw-4019,10.15453/0191-5096.4019,A,oai_conversion,crossref=10.15453/0191-5096.4019 sim=1.0 year=match journal=match/name,Review of <em>The History of the English Poor Law System</em>. Jianding Ding
118356,doi,oai:scholarworks.wmich.edu:jssw-2117,10.15453/0191-5096.2117,A,oai_conversion,crossref=10.15453/0191-5096.2117 sim=1.0 year=match journal=match/name,"Review of <em>Rethinking Citizenship: Welfare, Ideology and Change in Modern Society.</em> Maurice Roche. Reviewed by Ja"
119553,doi,oai:scholarworks.wmich.edu:jssw-3422,10.15453/0191-5096.3422,A,oai_conversion,crossref=10.15453/0191-5096.3422 sim=1.0 year=match journal=match/name,Review of <em>The Sandbox Investment: The Preschool Movement and Kids-First Politics.</em> David L. Kirp. Reviewed by Ja
119199,doi,oai:scholarworks.wmich.edu:jssw-3028,10.15453/0191-5096.3028,A,oai_conversion,crossref=10.15453/0191-5096.3028 sim=1.0 year=match journal=match/name,Measuring and indigenizing social capital in relation to children's street work in Mexico: The role of culture in shapin
